iteracion_bayesiana,E1000_c,E1002_c,E5001_c,E5002_c,E5003_c,E5005_c,E5007_c,E5008_c,E5009_c,E5010_c,E5011_c,E5012_c,E5013_c,E5014_c,E5015_c,E5016_c,E5017_c,E5018_c,E5019_c,E5020_c,E5021_c,E5022_c,E5023_c,E5024_c,E5025_c,E5026_c,E5027_c,E5028_c,E5029_c,E5030_c,E5031_c,E5032_c,E5033_c,E5034_c,E5035_c,E5037_c,E5038_c,E5040_c,E1001_a,E1002_a,E1004_a,E1005_a,E1006_a,E1007_a,E1010_a,E1011_a,E1012_a,E1013_a,E1014_a,E1015_a,E1016_a,E1017_a
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5616250,,,,,,,,5306250,5163750,6101250,,,,,,,,6540000
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6082500,,,,,,,,4960000,4632500,5937500,,,,,,,,5211250
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5520000,,,,,,,,4950000,4547500,5606250,,,,,,,,6363750
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6778750,,,,,,,,5015000,5283750,6042500,,,,,,,,6840000
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6388750,,,,,,,,4883750,4928750,5482500,,,,,,,,6323750
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5735000,,,,,,,,5375000,5322500,6047500,,,,,,,,6311250
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6135000,,,,,,,,5152500,5593750,6240000,,,,,,,,5941250
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5305000,,,,,,,,5268750,4765000,5528750,,,,,,,,5981250
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6111250,,,,,,,,5313750,4921250,5498750,,,,,,,,5473750
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5775000,,,,,,,,5005000,5217500,5982500,,,,,,,,5888750
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5832500,,,,,,,,4787500,4465000,5785000,,,,,,,,6081250
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6015000,,,,,,,,4590000,5101250,5886250,,,,,,,,6715000
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250000,,,,,,,,4550000,4897500,5710000,,,,,,,,6006250
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6651250,,,,,,,,4941250,4690000,5801250,,,,,,,,6243750
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6022500,,,,,,,,4755000,5390000,6008750,,,,,,,,5913750
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5817500,,,,,,,,5408750,5302500,6053750,,,,,,,,5917500
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6183750,,,,,,,,4850000,4812500,6061250,,,,,,,,6113750
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5626250,,,,,,,,5313750,5171250,5813750,,,,,,,,5083750
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5861250,,,,,,,,4967500,4335000,5245000,,,,,,,,5571250
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6190000,,,,,,,,4877500,4866250,5518750,,,,,,,,5706250
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6008750,,,,,,,,5111250,4826250,6270000,,,,,,,,6475000
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6391250,,,,,,,,5231250,4822500,5370000,,,,,,,,6066250
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5978750,,,,,,,,5940000,5353750,5758750,,,,,,,,5830000
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503750,,,,,,,,5241250,5180000,5767500,,,,,,,,6235000
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5636250,,,,,,,,4705000,5193750,5863750,,,,,,,,5995000
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5476250,,,,,,,,5180000,5416250,5946250,,,,,,,,4836250
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5760000,,,,,,,,5211250,5155000,5497500,,,,,,,,6046250
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6090000,,,,,,,,4906250,4565000,5356250,,,,,,,,5931250
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5552500,,,,,,,,,,5337500,,,,,,,,5838750
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6477500,,,,,,,,,,5740000,,,,,,,,5813750
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5713750,,,,,,,,,,6011250,,,,,,,,6023750
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6190000,,,,,,,,,,5950000,,,,,,,,6388750
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6190000,,,,,,,,,,5937500,,,,,,,,6287500
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6123750,,,,,,,,,,5975000,,,,,,,,5991250
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6377500,,,,,,,,,,6005000,,,,,,,,6361250
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5691250,,,,,,,,,,5782500,,,,,,,,"6,00E+06"
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6142500,,,,,,,,,,5512500,,,,,,,,6388750
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5957500,,,,,,,,,,6092500,,,,,,,,5657500
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5583750,,,,,,,,,,5771250,,,,,,,,6306250
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470000,,,,,,,,,,5652500,,,,,,,,5625000
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6353750,,,,,,,,,,5832500,,,,,,,,6437500
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6158750,,,,,,,,,,5902500,,,,,,,,5940000
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6273750,,,,,,,,,,5818750,,,,,,,,5638750
